中国A股现金流量表 - 数据字典
S_INFO_WINDCODE (Wind代码): 万得自定义的用来识别证券的唯一编码,后缀为交易场所 。
WIND_CODE (Wind代码): 万得自定义的用来识别证券的唯一编码,后缀为交易场所 。
ANN_DT (首次公告日期): 该财报首次披露日期 。
REPORT_PERIOD (报告期): 报告内容记录的截止时间点,报告成果的时期;企业的会计报告根据所反映的期间长短的不同分类为:年度、半年度、季度和月度财务会计报告 。
STATEMENT_TYPE (报表类型): 报表类型: 408001000:合并报表 | 408002000:合并报告(单季度) | 408003000:合并报告(单季度调整) | 408004000:合并报表(调整) | 408005000:合并报表(更正前) | 408006000:母公司报表 | 408007000:母公司报表(单季度) | 408008000:母公司报告(单季度调整) | 408009000:母公司报表(调整) | 408010000:母公司报表(更正前) | 408020000:合并调整 。
CRNCY_CODE (货币代码): CNY 。
CASH_RECP_SG_AND_RS (销售商品、提供劳务收到的现金): 企业通过对商品的销售、提供劳务等方式,获取的现金金额;反映企业本期销售商品、提供劳务收到的现金,以及前期销售商品、提供劳务本期收到的现金 。
RECP_TAX_RENDS (收到的税费返还): 收到的政府按照国家有关规定采取先征后返、退;即征即退等方式向企业返还的税款;反映企业收到返还的增值税、营业税、所得税、消费税、关税和教育费附加返还款等各种税费 。
NET_INCR_DEP_COB (客户存款和同业存放款项净增加额): 银行收到的来自客户或其他金融机构存放至本银行的款项;反映商业银行本期吸收的境内外金融机构以及非同业存放款项以外的各种存款的净增加额 。
NET_INCR_LOANS_CENTRAL_BANK (向中央银行借款净增加额): 银行向中央银行借入的临时周转金、季节性资金、年度性资金以及特殊需要经批准向中央银行借入的特种借款的净增加额;反映商业银行本期向中央银行借入款项的净增加额 。
NET_INCR_FUND_BORR_OFI (向其他金融机构拆入资金净增加额): 金融机构在同业市场中,向其他金融机构借入的资金的增加净额;反映商业银行本期从境内外金融机构拆入款项所取得的现金 。
CASH_RECP_PREM_ORIG_INCO (收到原保险合同保费取得的现金): 保险公司确认的,获取的根据原保险合同的保费收入;反映保险公司本期收取的原保险合同保费和再保险合同分保费款项 。
NET_INCR_INSURED_DEP (保户储金净增加额): 保险公司以储金利息作为保护的保险业务的增加净额;反映保险公司本期实际向投保人收取的以租金利息为保费收入的储金、以及投资型保险业务的投资本金 。
NET_CASH_RECEIVED_REINSU_BUS (收到再保业务现金净额): 保险公司通过保险人在原保险合同的基础上,通过签订分保合同将其所承保的部分风险和责任向其他保险人进行保险的行为而收取的净额 。
NET_INCR_DISP_TFA (处置交易性金融资产净增加额): 企业对打算通过积极管理和交易获取利润的债券证券和权益证券的处置所产生的净增加额;反映证券公司本期自行买卖交易性金融资产所取得的现金净增加额 。
NET_INCR_INT_HANDLING_CHRG (收取利息和手续费净增加额): 收到的银行存款利息收入、各种手续费(如代交个税手续费)取得的净增加额;反映商业银行本期收到的利息和手续费,减去支付的利息和手续费的净额 。
